Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-23,138394,2345,16251,8516,59,0.69,3,46131,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-24,215393,2626,16526,13033,82,0.63,4,53848,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-25,150537,3072,13210,11395,49,0.43,2,75268,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-26,184103,2630,14551,12652,70,0.55,4,46025,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-27,203183,3032,13997,14516,67,0.46,4,50795,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-28,195436,3152,14514,13465,62,0.46,2,97718,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-29,190973,3182,15749,12126,60,0.49,2,95486,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-30,143922,3347,13516,10648,43,0.4,1,143922,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-10-31,196301,3384,13358,14695,58,0.39,3,65433,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-01,144996,2265,14188,10219,64,0.63,4,36249,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-02,213272,2665,16516,12913,80,0.62,4,53318,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-03,114853,3589,16235,7074,32,0.45,1,114853,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-04,295995,2690,14579,20302,110,0.54,9,32888,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-05,333386,2667,13146,25359,125,0.49,8,41673,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-06,248965,2417,9953,25014,103,0.41,3,82988,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-07,300554,1866,7677,39147,161,0.41,1,300554,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-08,230843,3077,14499,15921,75,0.47,4,57710,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-09,168656,4015,12545,13444,42,0.31,1,168656,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-10,230918,3608,13386,17250,64,0.37,5,46183,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-11,114030,2478,7708,14793,46,0.31,1,114030,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-12,155427,3985,13945,11145,39,0.35,4,38856,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-13,190186,2796,14484,13130,68,0.52,3,63395,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-14,115020,2053,11431,10062,56,0.56,2,57510,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-15,306781,2324,10824,28342,132,0.47,4,76695,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-16,204436,2655,10331,19787,77,0.39,3,68145,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-17,102137,2431,8861,11526,42,0.36,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-18,202250,3262,15042,13445,62,0.46,1,202250,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-19,231719,3358,14280,16226,69,0.43,3,77239,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-20,140416,3052,14898,9425,46,0.49,6,23402,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-21,92846,2110,8873,10463,44,0.42,2,46423,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-22,288943,2330,10384,27825,124,0.45,7,41277,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-23,314113,2779,11135,28209,113,0.4,7,44873,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-24,629314,2537,12012,52388,248,0.47,16,39332,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-25,845077,2283,9935,85057,370,0.44,17,49710,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-26,751348,2276,8871,84692,330,0.39,9,83483,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-27,760067,2743,10445,72768,277,0.38,13,58466,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-28,713386,2494,10935,65234,286,0.44,7,101912,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-29,955350,2624,10104,94548,364,0.38,19,50281,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-11-30,485725,2404,11149,43566,202,0.46,13,37363,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-01,30393,3039,8801,3453,10,0.29,0,0,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-02,551613,2146,8260,66781,257,0.38,16,34475,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-03,499420,2614,9689,51542,191,0.37,13,38416,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-04,498895,2011,7312,68222,248,0.36,5,99779,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-05,680801,2127,8149,83540,320,0.38,15,45386,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-06,431225,2318,7952,54226,186,0.34,4,107806,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-07,211350,2675,8767,24107,79,0.33,3,70450,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-08,222390,1765,7150,31103,126,0.41,5,44478,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-09,342918,2398,9216,37205,143,0.38,3,114306,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-10,191071,2274,9372,20387,84,0.41,3,63690,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-11,140687,3126,11547,12183,45,0.37,1,140687,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-12,256865,2273,12316,20856,113,0.54,7,36695,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-13,511135,2621,11506,44423,195,0.44,7,73019,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-14,369708,2354,11175,33083,157,0.47,4,92427,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-15,460285,2435,10350,44469,189,0.43,6,76714,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-16,671399,2944,10056,66762,228,0.34,9,74599,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-17,420795,2732,10101,41656,154,0.37,7,60113,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-18,349850,3068,11592,30180,114,0.38,6,58308,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-19,293867,2129,7877,37303,138,0.37,3,97955,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-20,368186,2832,11305,32567,130,0.4,5,73637,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-21,253495,2414,11103,22830,105,0.46,4,63373,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-22,244012,2837,11045,22092,86,0.39,2,122006,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-23,283748,2288,8629,32881,124,0.38,9,31527,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-24,284039,2928,11728,24217,97,0.4,2,142019,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-25,282617,2093,9153,30874,135,0.44,2,141308,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-26,242928,1897,8350,29091,128,0.44,2,121464,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-27,266245,2488,9009,29553,107,0.36,4,66561,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-28,126493,1505,8256,15320,84,0.55,2,63246,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-29,190265,1865,8954,21247,102,0.48,3,63421,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-30,152885,1680,7638,20016,91,0.45,2,76442,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2023-12-31,279302,1235,7956,35104,226,0.64,5,55860,IDR
K | ABO | 23-10-2023 | scale up,Ad group10,zym nanda9.mov_2023-10-23 09:49:09,2024-01-01,197211,1388,7926,24881,142,0.57,3,65737,IDR
