Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-06-24,105682,1704,6024,17542,62,0.35,1,105682,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-06-25,107423,2498,8002,13424,43,0.32,3,35807,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-06-26,94888,1506,7107,13351,63,0.47,3,31629,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-06-27,155049,2673,12136,12775,58,0.45,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-06-28,148751,2155,9731,15285,69,0.45,1,148751,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-06-29,8525,710,6675,1277,12,0.94,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-06-30,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-01,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-02,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-03,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-04,192840,3110,13589,14190,62,0.44,5,38568,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-05,213979,2431,12049,17759,88,0.5,6,35663,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-06,506227,2469,9232,54832,205,0.37,7,72318,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-07,266921,2262,8070,33074,118,0.36,5,53384,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-08,569205,2131,8588,66276,267,0.4,9,63245,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-09,647149,1555,7088,91297,416,0.46,12,53929,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-10,445669,2250,12474,35725,198,0.55,7,63667,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-11,430713,1772,8147,52865,243,0.46,6,71785,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-12,503829,2048,8852,56913,246,0.43,9,55981,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-13,420509,2081,9469,44408,202,0.45,10,42050,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-14,532183,2729,11213,47458,195,0.41,10,53218,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-15,357191,1759,7963,44851,203,0.45,5,71438,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-16,223220,1062,4783,46667,210,0.45,1,223220,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-17,248997,1509,6389,38968,165,0.42,3,82999,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-18,252463,2103,8620,29287,120,0.41,2,126231,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-19,238588,1668,7832,30461,143,0.47,8,29823,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-20,241414,1712,7231,33385,141,0.42,5,48282,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-21,238294,882,4107,58008,270,0.47,3,79431,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-22,243815,1442,7430,32813,169,0.52,2,121907,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-23,251814,1893,7671,32826,133,0.41,2,125907,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-24,2169,2169,8063,269,1,0.37,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-25,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-26,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-27,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-28,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-29,223923,2195,10017,22354,102,0.46,5,44784,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-30,245864,1862,10456,23512,132,0.56,8,30733,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-07-31,291999,2281,10207,28605,128,0.45,6,48666,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-01,301175,1128,5455,55207,267,0.48,5,60235,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-02,254307,1397,6517,39019,182,0.47,3,84769,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-03,343862,1899,7741,44419,181,0.41,3,114620,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-04,200272,2250,10265,19509,89,0.46,3,66757,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-05,199728,2147,10442,19127,93,0.49,5,39945,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-06,200523,2506,9369,21401,80,0.37,2,100261,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-07,200185,2107,9649,20746,95,0.46,3,66728,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-08,200670,2908,10234,19608,69,0.35,3,66890,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-09,200276,1589,7633,26237,126,0.48,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-10,40854,2269,8829,4627,18,0.39,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-11,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-12,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-13,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-14,0,0,0,0,0,0.0,1,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-15,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-20,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-21,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-24,7186,1197,8720,824,6,0.73,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-08-27,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-09-23,94687,1352,7160,13224,70,0.53,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-09-24,126642,1439,7142,17730,88,0.5,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-09-25,120587,1855,9037,13343,65,0.49,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-09-26,25221,2522,10239,2463,10,0.41,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-09-27,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-09-28,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-09-29,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-09-30,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-10-17,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2023-11-19,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2024-01-05,0,0,0,0,0,0.0,0,0,IDR
Campaign Name 7,Ad Group Name 7,Ad Name 7,2024-03-07,0,0,0,0,0,0.0,0,0,IDR
